,Accuracy,Precision,Recall,F1,ROC-AUC,Pred_1_Rate
ANN (MLP),0.5534,0.5439,0.1845,0.2756,0.5143,0.1562
Baseline: Majority,0.5397,0.0,0.0,0.0,,0.0
Baseline: Random,0.526,0.486,0.5179,0.5014,,0.4904
Random Forest,0.5233,0.35,0.0417,0.0745,0.4726,0.0548
Baseline: Persistence,0.5041,0.4615,0.4643,0.4629,,0.463
XGBoost,0.4904,0.41,0.244,0.306,0.4623,0.274
