,Accuracy,Precision,Recall,F1,ROC-AUC,Pred_1_Rate
Random Forest,0.5233,0.4949,0.564,0.5272,0.5264,0.537
ANN (MLP),0.5123,0.4848,0.5581,0.5189,0.5018,0.5425
Baseline: Random,0.5096,0.4804,0.5,0.49,,0.4904
Baseline: Persistence,0.4986,0.4678,0.4651,0.4665,,0.4685
XGBoost,0.4904,0.4685,0.6047,0.5279,0.4903,0.6082
Baseline: Majority,0.4712,0.4712,1.0,0.6406,,1.0
