,MAE_return,RMSE_return,R2_return,DirAcc,MAE_baht,RMSE_baht,R2_price
Baseline: Naive (RW),0.0093,0.0132,-0.0085,0.1534,1.7068,2.4231,0.9916
Baseline: Mean Return,0.0093,0.0132,-0.0094,0.3863,1.7095,2.4242,0.9916
Random Forest,0.0094,0.0132,-0.0118,0.4027,1.7328,2.4308,0.9915
XGBoost,0.01,0.0138,-0.1032,0.4192,1.8363,2.5617,0.9906
ANN (MLP),0.0159,0.0203,-1.4109,0.3945,2.9061,3.7443,0.9799
