,Accuracy,Precision,Recall,F1,ROC-AUC,Pred_1_Rate
Logistic Regression,0.5562,0.5152,0.1043,0.1735,0.5561,0.0904
XGBoost,0.5534,0.5,0.0307,0.0578,0.539,0.0274
Baseline: Majority,0.5534,0.0,0.0,0.0,,0.0
ANN (MLP),0.5342,0.4426,0.1656,0.2411,0.475,0.1671
Baseline: Random,0.5288,0.4749,0.5215,0.4971,,0.4904
Baseline: Persistence,0.4521,0.3865,0.3865,0.3865,,0.4466
Baseline: Always Up,0.4466,0.4466,1.0,0.6174,,1.0
